"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"00700.HK","20260522","442.2","445.0","438.8","441.4","439.0","2.4","0.55","23998219.0","10609807754.648"
"00700.HK","20260526","438.0","441.0","432.0","439.0","441.4","-2.4","-0.54","32795639.0","14341134190.53"
"00700.HK","20260527","435.8","442.6","433.6","434.4","439.0","-4.6","-1.05","24863984.0","10836172049.1"
"00700.HK","20260528","431.0","432.8","420.4","425.0","434.4","-9.4","-2.16","42196103.0","17926587091.37"
"00700.HK","20260529","428.2","438.4","423.6","427.2","425.0","2.2","0.52","48005475.0","20597452291.17"
"00700.HK","20260601","432.4","442.0","430.0","436.0","427.2","8.8","2.06","35164391.0","15331009622.116"
"00700.HK","20260602","438.0","484.8","437.4","481.6","436.0","45.6","10.46","101874275.0","47789124229.338"
"00700.HK","20260603","484.0","484.0","461.6","466.4","481.6","-15.2","-3.16","49104320.0","22994821512.47"
"00700.HK","20260604","462.6","468.6","454.8","459.0","466.4","-7.4","-1.59","29053909.0","13328580540.671"
"00700.HK","20260605","461.6","466.2","452.2","453.2","459.0","-5.8","-1.26","31649780.0","14465428854.749"
"00700.HK","20260608","447.8","458.2","443.2","446.4","453.2","-6.8","-1.5","29019096.0","13034478773.61"
"00700.HK","20260609","443.8","468.4","443.2","453.2","446.4","6.8","1.52","37387399.0","17187726562.634"
"00700.HK","20260610","454.8","471.0","451.6","465.6","453.2","12.4","2.74","35788237.0","16620288699.18"
"00700.HK","20260611","469.8","475.6","455.0","457.2","465.6","-8.4","-1.8","28580619.0","13202410524.628"
"00700.HK","20260612","466.0","467.0","459.4","463.6","457.2","6.4","1.4","22334646.0","10346698122.244"
"00700.HK","20260615","475.0","476.8","457.8","459.6","463.6","-4.0","-0.86","19748938.0","9161148874.024"
"00700.HK","20260616","462.6","462.6","445.4","447.4","459.6","-12.2","-2.65","24323142.0","10927700960.998"
"00700.HK","20260617","445.6","454.0","445.4","445.4","447.4","-2.0","-0.45","16962334.0","7594397837.78"
"00700.HK","20260618","440.0","446.2","435.6","440.2","445.4","-5.2","-1.17","30119117.0","13215630970.156"
"00700.HK","20260622","439.0","439.0","428.4","433.0","440.2","-7.2","-1.64","31563111.0","13687873506.2"
"00700.HK","20260623","430.0","432.4","413.6","414.8","433.0","-18.2","-4.2","43435789.0","18223375482.69"
"00700.HK","20260624","414.0","439.8","412.6","428.8","414.8","14.0","3.38","39958288.0","17002715524.97"
"00700.HK","20260625","428.6","428.6","418.0","421.4","428.8","-7.4","-1.73","29472428.0","12461262215.17"
"00700.HK","20260626","418.0","421.2","411.0","411.8","421.4","-9.6","-2.28","31872909.0","13190958463.852"
